Region,Dosis,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07
Coquimbo,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2495.0,6198.0,8197.0,8705.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,8767.0,12768.0,17625.0,22452.0,22460.0,22460.0,30273.0,39123.0,49190.0,58730.0,67546.0,68027.0,68027.0,79127.0,87907.0,95898.0,102777.0,109215.0,109257.0,109262.0,115455.0,120649.0,125221.0,130022.0,133980.0,134115.0,134115.0,141567.0,149512.0,156894.0,163042.0,168425.0,168475.0,168475.0
Coquimbo,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2762.0,6429.0,8039.0,8541.0,8553.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8587.0,8589.0,8593.0,8606.0,8635.0,8638.0,8638.0,8638.0,8642.0,8706.0,12203.0,16504.0,20752.0,20765.0,20766.0
Araucanía,Primera,0.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,711.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,943.0,13342.0,22452.0,30507.0,31636.0,31636.0,42803.0,57173.0,71991.0,86221.0,100087.0,102213.0,102214.0,118608.0,132704.0,143331.0,152398.0,160690.0,161070.0,161070.0,168547.0,175357.0,181121.0,185984.0,191099.0,191712.0,191712.0,199230.0,209415.0,217877.0,225389.0,232404.0,232813.0,232813.0
Araucanía,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,697.0,703.0,716.0,716.0,716.0,717.0,1024.0,12135.0,20915.0,28608.0,29807.0,29809.0
Los Lagos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,542.0,542.0,543.0,543.0,543.0,543.0,543.0,543.0,802.0,9742.0,18286.0,26927.0,30508.0,31194.0,44037.0,56951.0,69897.0,82011.0,93304.0,96443.0,96566.0,110649.0,121334.0,129027.0,135694.0,142014.0,142400.0,142407.0,148010.0,153256.0,158310.0,163261.0,168730.0,169068.0,169068.0,175104.0,181759.0,188130.0,193838.0,198882.0,199661.0,199663.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,501.0,530.0,530.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,538.0,539.0,539.0,539.0,837.0,1568.0,9636.0,17588.0,25054.0,27739.0,27842.0
Los Ríos,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,770.0,5512.0,10190.0,14570.0,15136.0,15653.0,21092.0,27986.0,35112.0,42192.0,47590.0,48396.0,48839.0,54431.0,58287.0,61622.0,64612.0,67405.0,67478.0,67532.0,70526.0,72994.0,75125.0,77044.0,78600.0,78619.0,78620.0,80621.0,84459.0,88648.0,92108.0,94905.0,95057.0,95059.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,616.0,4864.0,9308.0,13607.0,14079.0,14135.0
Magallanes,Primera,0.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,222.0,3609.0,6715.0,8987.0,9023.0,9023.0,12184.0,15498.0,20132.0,23650.0,26698.0,26704.0,26710.0,30317.0,32697.0,35291.0,37051.0,38770.0,38972.0,38982.0,39830.0,40550.0,41462.0,42458.0,43296.0,43381.0,43381.0,45548.0,47940.0,50129.0,51889.0,53352.0,53358.0,53358.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,157.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,163.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,165.0,165.0,165.0,165.0,165.0,210.0,3310.0,6239.0,8384.0,8423.0,8423.0
Tarapacá,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,334.0,2496.0,4511.0,6927.0,7468.0,7468.0,10861.0,14863.0,19672.0,23987.0,28202.0,28373.0,28373.0,33604.0,38439.0,41919.0,44121.0,46261.0,46370.0,46370.0,47945.0,49656.0,52029.0,54173.0,55683.0,55756.0,55756.0,57656.0,59565.0,61266.0,63047.0,65043.0,65153.0,65153.0
Tarapacá,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,158.0,158.0,158.0,159.0,159.0,159.0,159.0,159.0,291.0,2216.0,4139.0,6400.0,6907.0,6907.0
Valparaíso,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1424.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1454.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,3092.0,19406.0,37401.0,56773.0,58059.0,58097.0,85871.0,116162.0,149414.0,180642.0,208459.0,209788.0,209788.0,243555.0,273302.0,297694.0,318327.0,336845.0,337523.0,337636.0,348997.0,358129.0,365931.0,374566.0,384158.0,387811.0,387827.0,401108.0,419178.0,439555.0,458391.0,475803.0,476102.0,476102.0
Valparaíso,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,587.0,1424.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1431.0,1438.0,1454.0,1455.0,1455.0,1456.0,2915.0,18068.0,35239.0,53653.0,54774.0,54775.0
Ñuble,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1719.0,5437.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7785.0,7824.0,13474.0,20179.0,26379.0,26614.0,26730.0,33913.0,41746.0,50827.0,61186.0,70014.0,70310.0,70560.0,78055.0,84409.0,90303.0,95452.0,99788.0,99987.0,99987.0,104051.0,107857.0,111137.0,114421.0,117077.0,117131.0,117189.0,120705.0,124711.0,128249.0,131107.0,133444.0,133510.0,133510.0
Ñuble,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,5686.0,7652.0,7699.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7703.0,7706.0,7709.0,7721.0,7730.0,7734.0,7734.0,7734.0,7738.0,7859.0,13172.0,19526.0,25220.0,25353.0,25357.0
Biobío,Primera,0.0,1388.0,2044.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2059.0,2092.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,2146.0,6313.0,28267.0,46724.0,63159.0,67319.0,69943.0,93335.0,120703.0,152163.0,180872.0,202774.0,206011.0,207290.0,228537.0,245397.0,259794.0,270660.0,280590.0,281728.0,282120.0,290625.0,298354.0,306111.0,315333.0,322109.0,322457.0,322615.0,334039.0,347314.0,360578.0,372660.0,383291.0,383914.0,383964.0
Biobío,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1421.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1995.0,2076.0,2113.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2119.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0,2128.0,4720.0,24801.0,42421.0,57532.0,61310.0,62036.0
O’Higgins,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,7902.0,10258.0,11555.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11630.0,11873.0,18935.0,28303.0,37191.0,38309.0,38369.0,48211.0,57587.0,70706.0,81830.0,92951.0,94164.0,94184.0,109278.0,122272.0,133591.0,142619.0,150335.0,150766.0,150778.0,157097.0,162576.0,167487.0,172347.0,176101.0,176425.0,176425.0,185896.0,195862.0,205138.0,213156.0,220905.0,221255.0,221257.0
O’Higgins,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2543.0,8026.0,10205.0,11350.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11432.0,11440.0,11443.0,11457.0,11464.0,11476.0,11476.0,11476.0,11493.0,11762.0,18534.0,27604.0,36164.0,37010.0,37035.0
Maule,Primera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,1669.0,14321.0,26634.0,39870.0,43766.0,46386.0,61043.0,76046.0,92546.0,107533.0,120213.0,121657.0,122243.0,136308.0,149275.0,160877.0,169960.0,178899.0,179270.0,179434.0,186576.0,192998.0,198867.0,204643.0,211076.0,211355.0,211361.0,218922.0,228382.0,237086.0,244367.0,250407.0,251130.0,251180.0
Maule,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,501.0,504.0,504.0,504.0,509.0,509.0,509.0,516.0,1476.0,12922.0,24450.0,36596.0,40115.0,40592.0
Metropolitana,Primera,420.0,2934.0,5418.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5714.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,5819.0,7069.0,7942.0,7965.0,7965.0,7965.0,7965.0,7965.0,7981.0,7991.0,7991.0,7991.0,7997.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,8007.0,12104.0,71903.0,135231.0,197851.0,208173.0,210095.0,293639.0,384645.0,486115.0,577135.0,664014.0,677855.0,679595.0,783867.0,869428.0,943804.0,1004935.0,1061327.0,1066589.0,1066994.0,1104328.0,1134964.0,1162948.0,1190868.0,1214745.0,1218542.0,1218654.0,1275490.0,1338357.0,1402226.0,1463679.0,1522451.0,1528027.0,1528157.0
Metropolitana,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,3550.0,5473.0,5540.0,5540.0,5540.0,5541.0,5541.0,5541.0,5541.0,5541.0,5541.0,5652.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,5653.0,6923.0,7587.0,7592.0,7592.0,7602.0,7752.0,7810.0,7825.0,7836.0,7836.0,7836.0,7836.0,7846.0,7846.0,7846.0,7846.0,7846.0,7846.0,7848.0,7848.0,7851.0,7888.0,7902.0,7903.0,7903.0,7944.0,11627.0,63722.0,123722.0,183812.0,192144.0,192817.0
